count,age,sex,race,intent,year
158,82,M,White,Suicide,2013
32,33,F,White,Suicide,2014
36,52,M,Black,Homicide,2014
3,56,F,Hispanic,Suicide,2012
4,66,M,Hispanic,Suicide,2012
2,49,M,Asian/Pacific Islander,Homicide,2013
3,77,M,Hispanic,Suicide,2014
214,23,M,White,Suicide,2014
23,32,F,White,Suicide,2014
19,20,M,Hispanic,Suicide,2013
2,27,F,Hispanic,Suicide,2013
1,74,M,Black,Homicide,2012
7,30,M,White,Accidental,2012
20,73,F,White,Suicide,2013
2,25,M,White,Undetermined,2012
1,64,F,White,Undetermined,2013
11,52,M,White,Accidental,2013
3,25,M,Native American/Native Alaskan,Homicide,2013
1,61,F,White,Accidental,2013
9,62,M,Hispanic,Suicide,2012
1,39,F,Asian/Pacific Islander,Homicide,2013
35,51,M,Black,Homicide,2014
2,55,F,Hispanic,Suicide,2012
2,57,M,White,Undetermined,2013
1,46,M,Asian/Pacific Islander,Homicide,2013
5,58,F,Black,Homicide,2014
6,17,M,Hispanic,Suicide,2013
2,26,F,Hispanic,Suicide,2013
5,76,M,Hispanic,Suicide,2014
1,67,F,Hispanic,Suicide,2014
1,80,F,Black,Homicide,2012
2,71,M,Black,Homicide,2012
144,79,M,White,Suicide,2013
12,72,F,White,Suicide,2013
216,22,M,White,Suicide,2014
32,29,F,White,Suicide,2014
2,28,M,White,Undetermined,2012
5,31,M,White,Accidental,2012
3,24,F,White,Accidental,2012
1,65,F,White,Undetermined,2013
5,56,M,White,Undetermined,2013
3,33,M,White,Accidental,2012
1,53,M,White,Accidental,2013
4,26,M,Native American/Native Alaskan,Homicide,2013
2,47,M,Asian/Pacific Islander,Homicide,2013
6,59,F,Black,Homicide,2014
7,63,M,Hispanic,Suicide,2012
3,38,F,Asian/Pacific Islander,Homicide,2013
44,50,M,Black,Homicide,2014
9,18,M,Hispanic,Suicide,2013
1,25,F,Hispanic,Suicide,2013
8,75,M,Hispanic,Suicide,2014
1,68,F,Hispanic,Suicide,2014
2,79,F,Black,Homicide,2012
1,72,M,Black,Homicide,2012
148,80,M,White,Suicide,2013
28,71,F,White,Suicide,2013
38,30,F,White,Suicide,2014
181,21,M,White,Suicide,2014
2,20,F,White,Undetermined,2012
1,27,M,White,Undetermined,2012
3,32,M,White,Accidental,2012
2,24,F,Native American/Native Alaskan,Homicide,2013
1,31,M,Native American/Native Alaskan,Homicide,2013
7,54,M,White,Accidental,2013
1,51,M,White,Undetermined,2013
1,58,F,White,Undetermined,2013
20,57,M,Black,Homicide,2014
1,58,F,Hispanic,Accidental,2014
1,44,M,Asian/Pacific Islander,Homicide,2013
2,64,F,Black,Homicide,2014
2,60,M,Hispanic,Suicide,2012
2,53,F,Hispanic,Suicide,2012
5,33,F,Hispanic,Suicide,2013
4,82,M,Hispanic,Suicide,2014
3,37,F,Asian/Pacific Islander,Homicide,2013
141,20,M,White,Suicide,2014
39,27,F,White,Suicide,2014
5,32,F,Hispanic,Suicide,2013
28,23,M,Hispanic,Suicide,2013
3,69,M,Black,Homicide,2012
166,77,M,White,Suicide,2013
20,70,F,White,Suicide,2013
5,25,M,White,Accidental,2012
1,18,F,White,Accidental,2012
1,21,F,White,Undetermined,2012
4,30,M,White,Undetermined,2012
4,32,M,Native American/Native Alaskan,Homicide,2013
1,23,F,Native American/Native Alaskan,Homicide,2013
2,59,F,White,Undetermined,2013
1,50,M,White,Undetermined,2013
3,55,M,White,Accidental,2013
1,50,M,Hispanic,Accidental,2014
1,36,F,Asian/Pacific Islander,Homicide,2013
32,56,M,Black,Homicide,2014
1,52,F,Hispanic,Suicide,2012
9,61,M,Hispanic,Suicide,2012
2,45,M,Asian/Pacific Islander,Homicide,2013
2,81,M,Hispanic,Suicide,2014
30,28,F,White,Suicide,2014
131,19,M,White,Suicide,2014
29,24,M,Hispanic,Suicide,2013
3,31,F,Hispanic,Suicide,2013
4,70,M,Black,Homicide,2012
177,78,M,White,Suicide,2013
39,69,F,White,Suicide,2013
2,66,F,Black,Homicide,2014
5,33,M,Native American/Native Alaskan,Homicide,2013
7,26,M,White,Accidental,2012
4,29,M,White,Undetermined,2012
1,22,F,White,Undetermined,2012
2,29,M,Native American/Native Alaskan,Homicide,2013
1,22,F,Native American/Native Alaskan,Homicide,2013
1,33,M,White,Undetermined,2012
2,53,M,White,Undetermined,2013
6,56,M,White,Accidental,2013
8,58,M,Hispanic,Suicide,2012
22,55,M,Black,Homicide,2014
2,51,F,Hispanic,Suicide,2012
1,42,M,Asian/Pacific Islander,Homicide,2013
1,62,F,Black,Homicide,2014
24,21,M,Hispanic,Suicide,2013
2,30,F,Hispanic,Suicide,2013
1,80,M,Hispanic,Suicide,2014
6,67,M,Black,Homicide,2012
2,76,F,Black,Homicide,2012
27,68,F,White,Suicide,2013
168,75,M,White,Suicide,2013
142,18,M,White,Suicide,2014
25,25,F,White,Suicide,2014
2,32,M,White,Undetermined,2012
1,23,F,White,Undetermined,2012
6,27,M,White,Accidental,2012
3,20,F,White,Accidental,2012
1,30,M,Native American/Native Alaskan,Homicide,2013
1,21,F,Native American/Native Alaskan,Homicide,2013
5,52,M,White,Undetermined,2013
2,64,F,White,Accidental,2013
5,57,M,White,Accidental,2013
4,43,M,Asian/Pacific Islander,Homicide,2013
14,59,M,Hispanic,Suicide,2012
1,34,F,Asian/Pacific Islander,Homicide,2013
19,54,M,Black,Homicide,2014
4,29,F,Hispanic,Suicide,2013
31,22,M,Hispanic,Suicide,2013
5,79,M,Hispanic,Suicide,2014
9,68,M,Black,Homicide,2012
158,76,M,White,Suicide,2013
31,67,F,White,Suicide,2013
107,17,M,White,Suicide,2014
31,26,F,White,Suicide,2014
2,31,M,White,Undetermined,2012
4,28,M,White,Accidental,2012
1,19,F,White,Accidental,2012
8,82,F,White,Suicide,2013
14,61,M,Black,Homicide,2014
179,33,M,White,Suicide,2014
2,40,M,Asian/Pacific Islander,Homicide,2013
3,52,F,Black,Homicide,2014
12,56,M,Hispanic,Suicide,2012
4,58,M,White,Accidental,2013
2,63,M,White,Undetermined,2013
1,54,F,White,Undetermined,2013
2,51,F,White,Accidental,2013
2,28,F,Native American/Native Alaskan,Homicide,2013
5,21,M,White,Accidental,2012
1,30,F,White,Accidental,2012
202,73,M,White,Suicide,2013
2,18,M,White,Undetermined,2012
1,25,F,White,Undetermined,2012
9,70,M,Hispanic,Suicide,2014
1,49,F,Asian/Pacific Islander,Homicide,2013
25,23,F,White,Suicide,2014
190,32,M,White,Suicide,2014
23,27,M,Hispanic,Suicide,2013
2,20,F,Hispanic,Suicide,2013
14,81,F,White,Suicide,2013
3,53,F,Black,Homicide,2014
1,48,F,Asian/Pacific Islander,Homicide,2013
14,60,M,Black,Homicide,2014
8,57,M,Hispanic,Suicide,2012
2,50,F,White,Accidental,2013
1,55,F,White,Undetermined,2013
4,59,M,White,Accidental,2013
2,62,M,White,Undetermined,2013
2,20,M,Native American/Native Alaskan,Homicide,2013
8,22,M,White,Accidental,2012
192,74,M,White,Suicide,2013
1,73,F,Black,Homicide,2012
2,17,M,White,Undetermined,2012
2,26,F,White,Undetermined,2012
6,69,M,Hispanic,Suicide,2014
41,24,F,White,Suicide,2014
197,31,M,White,Suicide,2014
28,28,M,Hispanic,Suicide,2013
3,19,F,Hispanic,Suicide,2013
13,54,M,Hispanic,Suicide,2012
13,59,M,Black,Homicide,2014
5,38,M,Asian/Pacific Islander,Homicide,2013
6,50,F,Black,Homicide,2014
6,60,M,White,Accidental,2013
1,17,M,Native American/Native Alaskan,Homicide,2013
1,33,F,White,Accidental,2012
4,20,M,White,Undetermined,2012
2,27,F,White,Undetermined,2012
1,32,F,White,Accidental,2012
5,23,M,White,Accidental,2012
1,77,M,Hispanic,Accidental,2012
2,66,M,White,Undetermined,2013
28,25,M,Hispanic,Suicide,2013
4,18,F,Hispanic,Suicide,2013
3,68,M,Hispanic,Suicide,2014
2,79,M,Black,Homicide,2012
188,71,M,White,Suicide,2013
10,80,F,White,Suicide,2013
184,30,M,White,Suicide,2014
24,21,F,White,Suicide,2014
2,39,M,Asian/Pacific Islander,Homicide,2013
1,62,F,Hispanic,Suicide,2012
4,51,F,Black,Homicide,2014
9,55,M,Hispanic,Suicide,2012
16,58,M,Black,Homicide,2014
3,64,M,White,Undetermined,2013
1,52,F,White,Accidental,2013
6,61,M,White,Accidental,2013
1,61,M,Hispanic,Undetermined,2014
4,18,M,Native American/Native Alaskan,Homicide,2013
5,19,M,White,Undetermined,2012
3,31,F,White,Accidental,2012
5,24,M,White,Accidental,2012
1,63,M,Native American/Native Alaskan,Homicide,2012
1,65,M,Hispanic,Accidental,2014
26,26,M,Hispanic,Suicide,2013
1,17,F,Hispanic,Suicide,2013
7,67,M,Hispanic,Suicide,2014
1,76,F,Hispanic,Suicide,2014
196,72,M,White,Suicide,2013
9,79,F,White,Suicide,2013
1,71,F,Black,Homicide,2012
1,80,M,Black,Homicide,2012
168,29,M,White,Suicide,2014
32,22,F,White,Suicide,2014
2,36,M,Asian/Pacific Islander,Homicide,2013
3,56,F,Black,Homicide,2014
9,52,M,Hispanic,Suicide,2012
1,73,F,Native American/Native Alaskan,Homicide,2014
2,45,F,Asian/Pacific Islander,Homicide,2013
1,32,F,Native American/Native Alaskan,Homicide,2013
2,23,M,Native American/Native Alaskan,Homicide,2013
6,62,M,White,Accidental,2013
4,59,M,White,Undetermined,2013
1,55,F,White,Accidental,2013
1,50,F,White,Undetermined,2013
2,17,M,White,Accidental,2012
7,22,M,White,Undetermined,2012
5,74,M,Hispanic,Suicide,2014
179,28,M,White,Suicide,2014
17,19,F,White,Suicide,2014
16,31,M,Hispanic,Suicide,2013
2,24,F,Hispanic,Suicide,2013
1,77,M,Black,Homicide,2012
210,69,M,White,Suicide,2013
13,78,F,White,Suicide,2013
1,70,F,Black,Homicide,2012
5,66,M,Black,Homicide,2014
1,44,F,Asian/Pacific Islander,Homicide,2013
11,64,M,Black,Homicide,2014
15,53,M,Hispanic,Suicide,2012
19,33,M,Hispanic,Suicide,2013
2,37,M,Asian/Pacific Islander,Homicide,2013
5,24,M,Native American/Native Alaskan,Homicide,2013
2,51,F,White,Undetermined,2013
1,54,F,White,Accidental,2013
1,107,M,Black,Homicide,2013
5,63,M,White,Accidental,2013
1,58,M,White,Undetermined,2013
4,57,F,Black,Homicide,2014
1,58,M,Hispanic,Accidental,2014
6,18,M,White,Accidental,2012
1,25,F,White,Accidental,2012
4,21,M,White,Undetermined,2012
2,30,F,White,Undetermined,2012
7,73,M,Hispanic,Suicide,2014
1,81,M,Native American/Native Alaskan,Homicide,2014
1,16,M,Asian/Pacific Islander,Homicide,2012
190,27,M,White,Suicide,2014
25,20,F,White,Suicide,2014
27,32,M,Hispanic,Suicide,2013
7,23,F,Hispanic,Suicide,2013
1,78,M,Black,Homicide,2012
254,70,M,White,Suicide,2013
16,77,F,White,Suicide,2013
6,65,M,Black,Homicide,2014
12,50,M,Hispanic,Suicide,2012
2,43,F,Asian/Pacific Islander,Homicide,2013
1,57,F,White,Accidental,2013
7,63,M,Black,Homicide,2014
1,59,F,Hispanic,Suicide,2012
3,34,M,Asian/Pacific Islander,Homicide,2013
3,54,F,Black,Homicide,2014
2,21,M,Native American/Native Alaskan,Homicide,2013
5,61,M,White,Undetermined,2013
5,65,M,White,Accidental,2013
8,24,M,White,Undetermined,2012
1,31,F,White,Undetermined,2012
9,19,M,White,Accidental,2012
31,29,M,Hispanic,Suicide,2013
6,22,F,Hispanic,Suicide,2013
4,72,M,Hispanic,Suicide,2014
1,75,M,Black,Homicide,2012
182,67,M,White,Suicide,2013
17,76,F,White,Suicide,2013
1,6,F,Asian/Pacific Islander,Homicide,2012
207,26,M,White,Suicide,2014
11,17,F,White,Suicide,2014
1,58,F,Hispanic,Suicide,2012
4,35,M,Asian/Pacific Islander,Homicide,2013
5,55,F,Black,Homicide,2014
20,51,M,Hispanic,Suicide,2012
11,62,M,Black,Homicide,2014
1,22,M,Native American/Native Alaskan,Homicide,2013
1,79,M,Native American/Native Alaskan,Homicide,2014
5,60,M,White,Undetermined,2013
3,66,M,White,Accidental,2013
4,23,M,White,Undetermined,2012
1,32,F,White,Undetermined,2012
4,20,M,White,Accidental,2012
18,30,M,Hispanic,Suicide,2013
3,21,F,Hispanic,Suicide,2013
6,71,M,Hispanic,Suicide,2014
1,80,F,Hispanic,Suicide,2014
2,67,F,Black,Homicide,2012
2,76,M,Black,Homicide,2012
203,68,M,White,Suicide,2013
14,75,F,White,Suicide,2013
189,25,M,White,Suicide,2014
11,18,F,White,Suicide,2014
6,19,M,Asian/Pacific Islander,Homicide,2012
9,15,F,White,Suicide,2014
1,12,F,Hispanic,Suicide,2013
3,13,M,White,Accidental,2012
3,90,F,White,Suicide,2013
1,40,M,Native American/Native Alaskan,Homicide,2012
2,41,F,Hispanic,Suicide,2012
1,49,F,Native American/Native Alaskan,Homicide,2012
4,34,M,White,Accidental,2013
1,43,F,Hispanic,Undetermined,2014
4,98,M,White,Suicide,2013
106,37,M,Black,Homicide,2014
1,64,M,Asian/Pacific Islander,Homicide,2013
14,44,F,Black,Homicide,2014
17,48,M,Hispanic,Suicide,2012
17,49,M,Hispanic,Suicide,2012
1,93,M,Hispanic,Suicide,2014
8,20,M,Asian/Pacific Islander,Homicide,2012
15,16,F,White,Suicide,2014
7,14,M,White,Accidental,2012
2,89,F,White,Suicide,2013
1,84,M,Hispanic,Accidental,2012
1,47,F,White,Undetermined,2013
2,35,M,White,Accidental,2013
3,38,M,White,Undetermined,2013
4,45,F,Black,Homicide,2014
2,56,F,Asian/Pacific Islander,Homicide,2013
116,36,M,Black,Homicide,2014
3,40,F,Hispanic,Suicide,2012
2,26,F,Asian/Pacific Islander,Homicide,2012
12,95,M,White,Suicide,2013
1,17,M,Asian/Pacific Islander,Homicide,2012
2,88,F,White,Suicide,2013
12,13,F,White,Suicide,2014
2,15,M,White,Accidental,2012
1,38,M,Native American/Native Alaskan,Homicide,2012
12,46,M,Hispanic,Suicide,2012
131,35,M,Black,Homicide,2014
2,39,F,Hispanic,Suicide,2012
3,62,M,Asian/Pacific Islander,Homicide,2013
1,41,M,White,Undetermined,2013
13,42,F,Black,Homicide,2014
1,41,M,Hispanic,Accidental,2014
2,25,F,Asian/Pacific Islander,Homicide,2012
1,95,F,Black,Homicide,2012
2,18,M,Asian/Pacific Islander,Homicide,2012
7,96,M,White,Suicide,2013
6,87,F,White,Suicide,2013
12,14,F,White,Suicide,2014
4,16,M,White,Accidental,2012
2,39,M,Native American/Native Alaskan,Homicide,2012
1,49,F,White,Undetermined,2013
1,49,F,Hispanic,Accidental,2014
5,40,M,White,Undetermined,2013
1,40,M,Hispanic,Accidental,2014
3,37,M,White,Accidental,2013
3,97,M,White,Suicide,2013
3,38,F,Hispanic,Suicide,2012
1,63,M,Asian/Pacific Islander,Homicide,2013
12,43,F,Black,Homicide,2014
15,47,M,Hispanic,Suicide,2012
140,34,M,Black,Homicide,2014
5,23,M,Asian/Pacific Islander,Homicide,2012
3,11,F,White,Suicide,2014
35,93,M,White,Suicide,2013
5,86,F,White,Suicide,2013
1,9,M,White,Accidental,2012
1,2,F,White,Accidental,2012
2,14,M,White,Undetermined,2012
1,15,M,Native American/Native Alaskan,Homicide,2013
4,38,M,White,Accidental,2013
3,35,M,White,Undetermined,2013
2,35,M,Hispanic,Accidental,2014
69,41,M,Black,Homicide,2014
2,60,M,Asian/Pacific Islander,Homicide,2013
6,48,F,Black,Homicide,2014
12,44,M,Hispanic,Suicide,2012
5,37,F,Hispanic,Suicide,2012
1,33,F,Asian/Pacific Islander,Homicide,2012
3,24,M,Asian/Pacific Islander,Homicide,2012
2,31,F,Asian/Pacific Islander,Homicide,2012
2,12,F,White,Suicide,2014
1,15,F,Hispanic,Suicide,2013
18,94,M,White,Suicide,2013
6,85,F,White,Suicide,2013
9,49,F,Black,Homicide,2014
1,10,M,White,Accidental,2012
1,13,M,White,Undetermined,2012
1,0,F,White,Accidental,2012
1,16,M,Native American/Native Alaskan,Homicide,2013
1,34,M,White,Undetermined,2013
1,39,M,White,Accidental,2013
1,34,M,Hispanic,Accidental,2014
71,40,M,Black,Homicide,2014
3,36,F,Hispanic,Suicide,2012
7,45,M,Hispanic,Suicide,2012
2,61,M,Asian/Pacific Islander,Homicide,2013
1,89,M,Hispanic,Accidental,2012
1,14,F,Hispanic,Suicide,2013
1,83,M,Black,Homicide,2012
1,30,F,Asian/Pacific Islander,Homicide,2012
49,91,M,White,Suicide,2013
6,84,F,White,Suicide,2013
2,21,M,Asian/Pacific Islander,Homicide,2012
3,34,M,Native American/Native Alaskan,Homicide,2012
3,49,F,White,Accidental,2013
1,16,M,White,Undetermined,2012
1,11,M,White,Accidental,2012
2,37,M,White,Undetermined,2013
4,44,F,White,Undetermined,2013
4,40,M,White,Accidental,2013
13,42,M,Hispanic,Suicide,2012
1,51,F,Asian/Pacific Islander,Homicide,2013
94,39,M,Black,Homicide,2014
1,35,F,Hispanic,Suicide,2012
1,58,M,Asian/Pacific Islander,Homicide,2013
6,46,F,Black,Homicide,2014
2,13,F,Hispanic,Suicide,2013
2,84,M,Black,Homicide,2012
10,22,M,Asian/Pacific Islander,Homicide,2012
44,92,M,White,Suicide,2013
10,83,F,White,Suicide,2013
1,29,F,Asian/Pacific Islander,Homicide,2012
3,35,M,Native American/Native Alaskan,Homicide,2012
1,15,M,White,Undetermined,2012
3,12,M,White,Accidental,2012
1,3,F,White,Accidental,2012
1,36,M,Hispanic,Accidental,2014
3,34,F,Hispanic,Suicide,2012
3,41,M,White,Accidental,2013
1,59,M,Asian/Pacific Islander,Homicide,2013
8,47,F,Black,Homicide,2014
14,43,M,Hispanic,Suicide,2012
109,38,M,Black,Homicide,2014
1,14,F,White,Accidental,2012
67,89,M,White,Suicide,2013
3,48,M,Native American/Native Alaskan,Homicide,2012
3,49,F,Hispanic,Suicide,2012
4,86,M,Hispanic,Suicide,2014
4,27,M,Asian/Pacific Islander,Homicide,2012
2,20,F,Asian/Pacific Islander,Homicide,2012
85,16,M,White,Suicide,2014
46,45,M,Black,Homicide,2014
2,56,M,Asian/Pacific Islander,Homicide,2013
14,36,F,Black,Homicide,2014
20,40,M,Hispanic,Suicide,2012
7,42,M,White,Accidental,2013
3,47,M,White,Undetermined,2013
1,42,M,Hispanic,Undetermined,2014
2,35,F,Hispanic,Undetermined,2014
1,38,F,Hispanic,Accidental,2014
1,6,M,White,Accidental,2012
58,90,M,White,Suicide,2013
2,85,M,Hispanic,Suicide,2014
7,28,M,Asian/Pacific Islander,Homicide,2012
1,19,F,Asian/Pacific Islander,Homicide,2012
75,15,M,White,Suicide,2014
2,12,M,Hispanic,Suicide,2013
1,98,F,White,Suicide,2013
1,99,M,Black,Homicide,2012
12,37,F,Black,Homicide,2014
57,44,M,Black,Homicide,2014
2,48,F,Hispanic,Suicide,2012
13,41,M,Hispanic,Suicide,2012
1,49,M,Native American/Native Alaskan,Homicide,2012
2,43,M,White,Accidental,2013
1,46,M,White,Undetermined,2013
1,7,M,White,Accidental,2012
3,46,M,Native American/Native Alaskan,Homicide,2012
1,39,F,Native American/Native Alaskan,Homicide,2012
1,49,M,Hispanic,Accidental,2014
3,84,M,Hispanic,Suicide,2014
90,87,M,White,Suicide,2013
2,25,M,Asian/Pacific Islander,Homicide,2012
1,18,F,Asian/Pacific Islander,Homicide,2012
56,14,M,White,Suicide,2014
16,38,M,Hispanic,Suicide,2012
58,43,M,Black,Homicide,2014
3,47,F,Hispanic,Suicide,2012
1,54,M,Asian/Pacific Islander,Homicide,2013
8,34,F,Black,Homicide,2014
3,40,F,White,Undetermined,2013
2,44,M,White,Accidental,2013
1,3,M,White,Undetermined,2012
3,8,M,White,Accidental,2012
1,47,M,Native American/Native Alaskan,Homicide,2012
4,83,M,Hispanic,Suicide,2014
11,26,M,Asian/Pacific Islander,Homicide,2012
95,88,M,White,Suicide,2013
1,95,F,White,Suicide,2013
34,13,M,White,Suicide,2014
3,46,F,Hispanic,Suicide,2012
1,55,M,Asian/Pacific Islander,Homicide,2013
12,35,F,Black,Homicide,2014
19,39,M,Hispanic,Suicide,2012
1,41,F,White,Undetermined,2013
1,62,F,Asian/Pacific Islander,Homicide,2013
63,42,M,Black,Homicide,2014
2,48,M,White,Undetermined,2013
3,45,M,White,Accidental,2013
1,2,M,Native American/Native Alaskan,Homicide,2013
1,44,M,Native American/Native Alaskan,Homicide,2012
1,37,F,Native American/Native Alaskan,Homicide,2012
1,90,M,Hispanic,Suicide,2014
4,31,M,Asian/Pacific Islander,Homicide,2012
2,24,F,Asian/Pacific Islander,Homicide,2012
17,12,M,White,Suicide,2014
10,15,M,Hispanic,Suicide,2013
136,85,M,White,Suicide,2013
2,94,F,White,Suicide,2013
46,49,M,Black,Homicide,2014
2,52,M,Asian/Pacific Islander,Homicide,2013
10,40,F,Black,Homicide,2014
14,36,M,Hispanic,Suicide,2012
1,45,F,Hispanic,Suicide,2012
1,16,F,Native American/Native Alaskan,Homicide,2013
4,43,M,White,Undetermined,2013
8,46,M,White,Accidental,2013
2,39,F,White,Accidental,2013
1,34,F,White,Undetermined,2013
3,45,M,Native American/Native Alaskan,Homicide,2012
5,2,M,White,Accidental,2012
3,89,M,Hispanic,Suicide,2014
3,32,M,Asian/Pacific Islander,Homicide,2012
2,23,F,Asian/Pacific Islander,Homicide,2012
6,11,M,White,Suicide,2014
9,16,M,Hispanic,Suicide,2013
116,86,M,White,Suicide,2013
4,93,F,White,Suicide,2013
51,48,M,Black,Homicide,2014
1,44,F,Hispanic,Suicide,2012
11,37,M,Hispanic,Suicide,2012
5,33,M,Asian/Pacific Islander,Homicide,2012
1,53,M,Asian/Pacific Islander,Homicide,2013
2,38,F,White,Accidental,2013
1,35,F,Hispanic,Accidental,2014
2,47,M,White,Accidental,2013
7,41,F,Black,Homicide,2014
1,42,M,White,Undetermined,2013
5,42,M,Native American/Native Alaskan,Homicide,2012
1,35,F,Native American/Native Alaskan,Homicide,2012
3,3,M,White,Accidental,2012
1,13,M,Hispanic,Suicide,2013
3,88,M,Hispanic,Suicide,2014
7,29,M,Asian/Pacific Islander,Homicide,2012
1,22,F,Asian/Pacific Islander,Homicide,2012
168,83,M,White,Suicide,2013
3,92,F,White,Suicide,2013
1,10,M,White,Suicide,2014
18,34,M,Hispanic,Suicide,2012
1,41,F,White,Accidental,2013
50,47,M,Black,Homicide,2014
5,50,M,Asian/Pacific Islander,Homicide,2013
2,43,F,Hispanic,Suicide,2012
8,38,F,Black,Homicide,2014
1,36,F,White,Undetermined,2013
8,48,M,White,Accidental,2013
5,49,M,White,Accidental,2013
1,49,M,Hispanic,Undetermined,2014
4,14,M,Hispanic,Suicide,2013
1,87,M,Hispanic,Suicide,2014
1,92,M,Black,Homicide,2012
2,21,F,Asian/Pacific Islander,Homicide,2012
121,84,M,White,Suicide,2013
2,91,F,White,Suicide,2013
1,30,M,Asian/Pacific Islander,Homicide,2012
1,83,F,Black,Homicide,2012
2,51,M,Asian/Pacific Islander,Homicide,2013
5,39,F,Black,Homicide,2014
25,35,M,Hispanic,Suicide,2012
1,58,F,Asian/Pacific Islander,Homicide,2013
44,46,M,Black,Homicide,2014
3,44,M,White,Undetermined,2013
1,13,M,White,Undetermined,2014
1,83,M,White,Accidental,2013
1,1,F,White,Accidental,2014
1,10,M,White,Accidental,2014
2,37,M,Native American/Native Alaskan,Homicide,2014
1,44,F,Native American/Native Alaskan,Homicide,2014
7,49,F,Black,Homicide,2012
1,86,M,Black,Homicide,2014
1,93,F,Black,Homicide,2014
1,12,F,White,Suicide,2012
1,4,F,Black,Homicide,2013
3,11,M,Black,Homicide,2013
6,24,M,Asian/Pacific Islander,Homicide,2014
8,45,M,Hispanic,Suicide,2014
5,36,F,Hispanic,Suicide,2014
79,40,M,Black,Homicide,2012
299,48,M,White,Suicide,2013
2,34,M,Hispanic,Accidental,2012
54,41,F,White,Suicide,2013
2,NA,M,White,Suicide,2013
1,0,F,White,Accidental,2014
1,14,M,Hispanic,Accidental,2013
1,14,M,White,Undetermined,2014
1,73,F,Asian/Pacific Islander,Homicide,2013
1,84,M,White,Accidental,2013
3,9,M,White,Accidental,2014
4,36,M,Native American/Native Alaskan,Homicide,2014
310,49,M,White,Suicide,2013
2,3,F,Black,Homicide,2013
5,12,M,Black,Homicide,2013
6,23,M,Asian/Pacific Islander,Homicide,2014
1,32,F,Asian/Pacific Islander,Homicide,2014
1,37,F,Hispanic,Suicide,2014
22,44,M,Hispanic,Suicide,2014
16,48,F,Black,Homicide,2012
42,40,F,White,Suicide,2013
82,41,M,Black,Homicide,2012
1,3,F,White,Accidental,2014
1,15,M,Hispanic,Accidental,2013
3,35,M,Native American/Native Alaskan,Homicide,2014
3,9,M,Black,Homicide,2013
2,22,M,Asian/Pacific Islander,Homicide,2014
1,84,M,Black,Homicide,2014
1,29,F,Asian/Pacific Islander,Homicide,2014
103,38,M,Black,Homicide,2012
237,46,M,White,Suicide,2013
9,43,M,Hispanic,Suicide,2014
7,47,F,Black,Homicide,2012
36,39,F,White,Suicide,2013
3,34,F,Hispanic,Suicide,2014
1,36,M,Hispanic,Accidental,2012
1,11,M,White,Accidental,2014
1,4,F,White,Accidental,2014
1,16,M,Hispanic,Accidental,2013
2,16,M,White,Undetermined,2014
1,43,F,Native American/Native Alaskan,Homicide,2014
3,34,M,Native American/Native Alaskan,Homicide,2014
4,1,F,Black,Homicide,2013
1,10,M,Black,Homicide,2013
7,21,M,Asian/Pacific Islander,Homicide,2014
1,0,F,Black,Homicide,2013
8,46,F,Black,Homicide,2012
44,38,F,White,Suicide,2013
89,39,M,Black,Homicide,2012
220,47,M,White,Suicide,2013
21,42,M,Hispanic,Suicide,2014
1,9,M,Hispanic,Accidental,2013
1,9,M,White,Undetermined,2014
1,87,M,White,Accidental,2013
2,14,M,White,Accidental,2014
14,16,F,White,Suicide,2012
47,15,M,Black,Homicide,2013
1,8,F,Black,Homicide,2013
3,20,M,Asian/Pacific Islander,Homicide,2014
17,49,M,Hispanic,Suicide,2014
1,41,M,Native American/Native Alaskan,Homicide,2014
4,40,F,Hispanic,Suicide,2014
119,36,M,Black,Homicide,2012
234,44,M,White,Suicide,2013
10,45,F,Black,Homicide,2012
29,37,F,White,Suicide,2013
1,38,M,Hispanic,Accidental,2012
1,35,M,Hispanic,Undetermined,2012
3,83,M,White,Undetermined,2013
1,13,M,White,Accidental,2014
1,6,F,White,Accidental,2014
12,15,F,White,Suicide,2012
75,16,M,Black,Homicide,2013
1,7,F,Black,Homicide,2013
5,19,M,Asian/Pacific Islander,Homicide,2014
23,48,M,Hispanic,Suicide,2014
8,44,F,Black,Homicide,2012
31,36,F,White,Suicide,2013
113,37,M,Black,Homicide,2012
230,45,M,White,Suicide,2013
1,0,F,Hispanic,Accidental,2013
1,39,M,Hispanic,Accidental,2012
3,41,F,Hispanic,Suicide,2014
1,39,M,Native American/Native Alaskan,Homicide,2014
1,16,M,Hispanic,Undetermined,2013
4,16,M,White,Accidental,2014
1,4,F,White,Undetermined,2014
9,14,F,White,Suicide,2012
1,89,M,White,Accidental,2013
2,6,F,Black,Homicide,2013
2,13,M,Black,Homicide,2013
2,18,M,Asian/Pacific Islander,Homicide,2014
1,91,M,Hispanic,Suicide,2012
148,34,M,Black,Homicide,2012
233,42,M,White,Suicide,2013
16,47,M,Hispanic,Suicide,2014
9,43,F,Black,Homicide,2012
33,35,F,White,Suicide,2013
2,38,F,Hispanic,Suicide,2014
2,47,F,Native American/Native Alaskan,Homicide,2014
2,38,M,Native American/Native Alaskan,Homicide,2014
1,85,M,White,Undetermined,2013
7,15,M,White,Accidental,2014
1,12,M,White,Undetermined,2014
17,14,M,Black,Homicide,2013
1,17,M,Asian/Pacific Islander,Homicide,2014
